IDMunicipio,NomeMunicipio,SiglaUF
2119,Abadia de Goi?s,GO
2136,Abadi?nia,GO
749,Abaetetuba,PA
3268,Abaet?,MG
2563,Abaiara,CE
1085,Abar?,BA
379,Abati?,PR
1266,Aba?ra,BA
566,Abelardo Luz,SC
3555,Abre Campo,MG
3027,Abreu e Lima,PE
3509,Acaiaca,MG
1214,Acajutiba,BA
2463,Acarape,CE
2399,Acara?,CE
2639,Acari,RN
754,Acar?,PA
2377,Acau?,PI
1522,Acegu?,RS
2507,Acopiara,CE
2020,Acorizal,MT
655,Acrel?ndia,AC
3785,Adamantina,SP
333,Adrian?polis,PR
1187,Adustina,BA
2891,Afogados da Ingazeira,PE
2622,Afonso Bezerra,RN
31,Afonso Cl?udio,ES
2911,Afr?nio,PE
706,Afu?,PA
2974,Agrestina,PE
431,Agrol?ndia,SC
430,Agron?mica,SC
3729,Aguanil,MG
3856,Agua?,SP
1496,Agudo,RS
3910,Agudos,SP
359,Agudos do Sul,PR
2741,Aguiar,PB
3305,Aimor?s,MG
2501,Aiuaba,CE
3644,Aiuruoca,MG
1498,Ajuricaba,RS
2816,Alagoa Grande,PB
2817,Alagoa Nova,PB
2823,Alagoinha,PB
2353,Alagoinha do Piau?,PI
1215,Alagoinhas,BA
3880,Alambari,SP
2791,Alcantil,PB
1946,Alcin?polis,MS
1387,Alcoba?a,BA
873,Alc?ntara,MA
2422,Alc?ntaras,CE
1020,Aldeias Altas,MA
1500,Alecrim,RS
51,Alegre,ES
1501,Alegrete,RS
2354,Alegrete do Piau?,PI
697,Alenquer,PA
2595,Alexandria,RN
2138,Alex?nia,GO
3645,Alfenas,MG
45,Alfredo Chaves,ES
3214,Alfredo Vasconcelos,MG
590,Alfredo Wagner,SC
2805,Algod?o de Janda?ra,PB
2872,Alhandra,PB
2984,Alian?a,PE
1366,Almadina,BA
703,Almeirim,PA
3685,Almenara,MG
338,Almirante Tamandar?,PR
1574,Almirante Tamandar? do Sul,RS
3306,Alpercata,MG
1502,Alpestre,RS
3519,Alpin?polis,MG
1956,Alta Floresta,MT
630,Alta Floresta D'Oeste,RO
772,Altamira,PA
2551,Altaneira,CE
2975,Altinho,PE
3863,Altin?polis,SP
1503,Alto Alegre,RS
966,Alto Alegre do Maranh?o,MA
945,Alto Alegre do Pindar?,MA
631,Alto Alegre dos Parecis,RO
2044,Alto Araguaia,MT
478,Alto Bela Vista,SC
2581,Alto do Rodrigues,RN
1631,Alto Feliz,RS
3421,Alto Jequitib?,MG
2244,Alto Long?,PI
2018,Alto Paraguai,MT
616,Alto Para?so,RO
2086,Alto Para?so de Goi?s,GO
3217,Alto Rio Doce,MG
11,Alto Rio Novo,ES
2518,Alto Santo,CE
2232,Altos,PI
154,Alt?nia,PR
1454,Alum?nio,SP
3222,Alvarenga,MG
607,Alvorada D'Oeste,RO
3241,Alvorada de Minas,MG
2293,Alvorada do Gurgu?ia,PI
2126,Alvorada do Norte,GO
683,Amajari,RR
1911,Amambai,MS
932,Amap? do Maranh?o,MA
3005,Amaraji,PE
1504,Amaral Ferrador,RS
2077,Amaralina,GO
2263,Amarante,PI
954,Amarante do Maranh?o,MA
1281,Amargosa,BA
1672,Ametista do Sul,RS
2444,Amontada,CE
2787,Amparo,PB
3155,Amparo de S?o Francisco,SE
3543,Amparo do Serra,MG
260,Amp?re,PR
1225,Am?lia Rodrigues,BA
1110,Am?rica Dourada,BA
3114,Anadia,AL
1339,Anag?,BA
903,Anajatuba,MA
707,Anaj?s,PA
715,Ananindeua,PA
811,Anan?s,TO
777,Anapu,PA
1012,Anapurus,MA
1885,Anast?cio,MS
1903,Anauril?ndia,MS
46,Anchieta,ES
1267,Andara?,BA
197,Andir?,PR
1102,Andorinha,BA
3535,Andradas,MG
3933,Andradina,SP
3881,Angatuba,SP
2958,Angelim,PE
384,Angelina,SC
3258,Angel?ndia,MG
1065,Angical,BA
2264,Angical do Piau?,PI
812,Angico,TO
2623,Angicos,RN
121,Angra dos Reis,RJ
1153,Anguera,BA
1923,Ang?lica,MS
2114,Anicuns,GO
449,Anita Garibaldi,SC
664,Anori,AM
1505,Anta Gorda,RS
1188,Antas,BA
354,Antonina,PR
2567,Antonina do Norte,CE
1154,Ant?nio Cardoso,BA
382,Ant?nio Carlos,SC
3702,Ant?nio Dias,MG
1103,Ant?nio Gon?alves,BA
1941,Ant?nio Jo?o,MS
2608,Ant?nio Martins,RN
330,Ant?nio Olinto,PR
1507,Ant?nio Prado,RS
3477,Ant?nio Prado de Minas,MG
2105,An?polis,GO
2313,An?sio de Abreu,PI
2732,Aparecida,PB
79,Aperib?,RJ
60,Apiac?,ES
1958,Apiac?s,MT
3804,Apia?,SP
874,Apicum-A?u,MA
417,Api?na,SC
